,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
176912,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-15
176948,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-15
177006,Australia,New South Wales,-33.8688,151.2093,171.0,4.0,2.0,2020-03-16
177044,Australia,Victoria,-37.8136,144.9631,71.0,8.0,0.0,2020-03-16
177045,Australia,Queensland,-28.0167,153.4,68.0,8.0,0.0,2020-03-16
177085,Australia,South Australia,-34.9285,138.6007,29.0,3.0,0.0,2020-03-16
177088,Australia,Western Australia,-31.9505,115.8605,28.0,0.0,1.0,2020-03-16
177136,Australia,Tasmania,-41.4545,145.9707,7.0,0.0,0.0,2020-03-16
177173,Australia,Australian Capital Territory,-35.4735,149.0124,2.0,0.0,0.0,2020-03-16
177184,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-16
177220,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-16
177279,Australia,New South Wales,-33.8688,151.2093,210.0,4.0,4.0,2020-03-17
177312,Australia,Victoria,-37.8136,144.9631,94.0,8.0,0.0,2020-03-17
177316,Australia,Queensland,-28.0167,153.4,78.0,8.0,0.0,2020-03-17
177368,Australia,Western Australia,-31.9505,115.8605,31.0,0.0,1.0,2020-03-17
177371,Australia,South Australia,-34.9285,138.6007,29.0,3.0,0.0,2020-03-17
177424,Australia,Tasmania,-41.4545,145.9707,7.0,0.0,0.0,2020-03-17
177456,Australia,Australian Capital Territory,-35.4735,149.0124,2.0,0.0,0.0,2020-03-17
177465,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-17
177493,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-17
177547,Australia,New South Wales,-33.8688,151.2093,267.0,4.0,5.0,2020-03-18
177586,Australia,Victoria,-37.8136,144.9631,121.0,8.0,0.0,2020-03-18
177595,Australia,Queensland,-28.0167,153.4,94.0,8.0,0.0,2020-03-18
177645,Australia,South Australia,-34.9285,138.6007,37.0,3.0,0.0,2020-03-18
177647,Australia,Western Australia,-31.9505,115.8605,35.0,0.0,1.0,2020-03-18
177697,Australia,Tasmania,-41.4545,145.9707,10.0,0.0,0.0,2020-03-18
177724,Australia,Australian Capital Territory,-35.4735,149.0124,3.0,0.0,0.0,2020-03-18
177747,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-18
177772,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-18
177838,Australia,New South Wales,-33.8688,151.2093,307.0,4.0,5.0,2020-03-19
177873,Australia,Queensland,-28.0167,153.4,144.0,8.0,0.0,2020-03-19
177881,Australia,Victoria,-37.8136,144.9631,121.0,8.0,0.0,2020-03-19
